Anyo,Mes,Dia,Ventas,Prediccion
2013,5,9,903,1467.3070545683204
2013,5,12,1770,1867.003761537395
2013,5,14,708,1288.7788047880301
2013,5,15,948,1040.8762049213692
2013,5,19,1616,1403.219292983964
2013,5,23,996,1489.9226567412406
2013,5,24,1501,1489.9226567412406
2013,5,27,816,1268.085985849021
2013,5,28,873,1266.7832125942853
2013,5,30,1278,1294.0040546746181
2013,5,31,1555,1589.9138464978648
2013,6,8,1944,1778.3257722723622
2013,6,10,1320,1467.3070545683204
2013,6,12,1097,1752.2609795054402
2013,6,27,1996,1791.2984707662824
2013,6,28,2155,1822.3438352560677
2013,7,1,1774,2515.9116338614685
2013,7,3,1835,2515.9116338614685
2013,7,10,2369,2588.072740667957
2013,7,13,3315,3050.7523146495528
2013,7,20,3473,3030.0594957105436
2013,7,22,2574,2610.6883428408764
2013,7,24,2630,2610.6883428408764
2013,7,25,2616,2610.6883428408764
2013,7,30,2468,2679.278876106955
2013,8,2,3118,2812.6272933951473
2013,8,3,3941,3134.6346373814313
2013,8,4,3678,2931.848791555467
2013,8,7,3545,2812.6272933951473
2013,8,11,4407,2951.213272310772
2013,8,13,3871,2846.2759834001504
2013,8,22,2860,2825.583164461141
2013,8,25,3554,2944.804662621461
2013,9,4,2045,1930.1825928023359
2013,9,8,2177,1907.7983212010035
2013,9,11,1587,1612.6770350332927
2013,9,13,1888,1626.789990607096
2013,9,15,1944,2089.3507910076605
2013,9,18,1051,1757.8844429339795
2013,9,20,1635,1618.5857690923472
2013,9,22,1961,2139.485441358511
2013,9,26,1050,1737.1916239949703
2013,9,28,1647,1818.4309631871877
2013,9,29,1655,1719.6615127691239
2013,10,2,903,1523.2670553567477
2013,10,3,927,1523.2670553567477
2013,10,8,996,1542.631536112053
2013,10,16,909,1394.5822899564944
2013,10,19,1460,1676.3793392432806
2013,10,23,793,1304.1880235303124
2013,10,27,1362,1625.8818939224998
2013,10,29,721,1148.3236447867662
2013,10,30,802,1171.6018316479606
2013,11,6,734,1235.148653416572
2013,11,8,992,1187.7352774771684
2013,11,9,1270,1381.3943567687331
2013,11,11,865,1254.5131341718773
2013,11,12,958,1258.5991114213655
2013,11,13,717,1305.686567290253
2013,11,14,740,1093.5444557984868
2013,11,15,1006,1100.2588576652893
2013,11,19,555,986.957871673058
2013,11,22,819,1003.2374937853136
2013,11,25,365,972.3304840689864
2013,11,26,414,1003.2374937853136
2013,11,30,649,1526.520687124878
2013,12,6,1285,1327.4177421700258
2013,12,7,1001,1309.614974002661
2013,12,11,383,771.9319994358771
2013,12,13,511,859.0808629400523
2013,12,14,646,1166.7088229200876
2013,12,15,809,1123.5372513825573
2013,12,16,301,848.5855250541106
2013,12,17,405,835.3422230584063
2013,12,20,643,1006.0760828381849
2013,12,23,661,1171.32793076242
2014,1,20,320,594.0446275024724
2014,2,11,406,682.2210960111702
2014,2,27,733,776.7641880083681
2014,3,29,1214,1281.7211422766145
2014,3,30,1270,1114.1908932546223
2014,4,1,617,1332.4056245419918
2014,4,3,907,1123.1299856492412
2014,5,2,2047,1402.1070720291648
2014,5,24,1792,1729.7646180910135
2014,6,1,1860,1810.4452714469758
2014,6,2,1281,1428.2679721134614
2014,6,3,1129,1415.779374689201
2014,6,5,1139,1428.2679721134614
2014,6,6,1581,1415.779374689201
2014,6,7,2129,1930.8614607735462
2014,6,8,1981,1795.4355191387665
2014,6,11,1201,1699.1943490004005
2014,6,12,1443,1742.50277011233
2014,6,14,2073,2186.0600867326957
2014,6,16,1662,1519.3417185868318
2014,6,19,1680,1796.1676489772437
2014,6,21,2196,1988.0616780393113
2014,6,26,1788,1490.932457914462
2014,6,29,2432,1791.0105314862574
2014,7,1,1847,1752.3988520837836
2014,7,4,2263,1752.3988520837836
2014,7,5,2713,2998.9610343337854
2014,7,6,2430,2100.329883531675
2014,7,8,2308,2525.517905223664
2014,7,12,2982,3040.994105256443
2014,7,19,3070,2172.1675808361056
2014,7,21,2974,2589.4577412139342
2014,7,24,2421,2589.4577412139342
2014,7,28,2865,2620.5031057037204
2014,7,30,2660,2658.048274480013
2014,8,2,3428,2319.651343795611
2014,8,5,3251,2823.5089149466135
2014,8,6,3265,2823.5089149466135
2014,8,11,3794,2822.2335647573427
2014,8,13,3795,2836.5177740070408
2014,8,16,4783,3158.525117993325
2014,8,19,2930,2830.452342672103
2014,8,20,3064,2804.352562834199
2014,8,21,2959,2804.352562834199
2014,8,24,3131,2923.5740609945187
2014,8,29,2720,2867.7508290035908
2014,9,4,1714,1941.0642143538016
2014,9,8,1663,1939.7888641645309
2014,9,10,1187,1939.7888641645309
2014,9,11,1483,1612.9458039644974
2014,9,12,2016,1943.874841414019
2014,9,15,1267,1607.7996434931065
2014,9,17,1460,1607.7996434931065
2014,9,21,1927,1869.9608778845402
2014,9,23,1122,1518.122468381513
2014,9,24,1108,1448.4210208943402
2014,9,26,1466,1574.8395917168293
2014,10,12,1573,1664.0453352426257
2014,10,13,900,1198.3986216541757
2014,10,14,792,1198.3986216541757
2014,10,20,964,1575.6344323202652
2014,10,22,952,1504.7940927955897
